class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,adult_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus aequinoctialis,NA,Rufous Crab Hawk,NA,1,NA,693.25,NA,60,NA,NA,NA,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus anthracinus,NA,Common Black Hawk,730,1.5,1,996,13.5,65,38.25,46.5,13.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus coronatus,NA,Crowned Solitary Eagle,NA,1,NA,2950,NA,100,NA,NA,NA,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus gundlachii,NA,Cuban Black Hawk,730,1.5,1,945,13.5,65,38.25,46.5,13.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus meridionalis,NA,Savanna Hawk,NA,1,NA,808,NA,74.25,NA,NA,NA,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus schistaceus,NA,Slate-colored Hawk,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus solitarius,NA,Montane Solitary Eagle,NA,1,NA,3000,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus urubitinga,NA,Great Black Hawk,NA,1.2,NA,1230,NA,79.5,NA,NA,NA,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Chelictinia,Chelictinia riocourii,NA,Scissor-tailed Kite,NA,4,NA,110,NA,NA,NA,NA,NA,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Chondrohierax,Chondrohierax uncinatus,NA,Hook-billed Kite,NA,2,NA,288.75,NA,48.8,NA,NA,NA,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
