class	order	family	genus	species	common_name	female_maturity_d	litter_or_clutch_size_n	litters_or_clutches_per_y	adult_body_mass_g	maximum_longevity_y	egg_mass_g	incubation_d	fledging_age_d	longevity_y	adult_svl_cm
Aves	Accipitriformes	Accipitridae	Gyps	himalayensis	Himalayan Vulture	NA	1	1	10000	NA	258	57	138	NA	106.5
Aves	Accipitriformes	Accipitridae	Gyps	indicus	Indian Vulture	1826.25	1	NA	5705	NA	235	50	NA	NA	92
Aves	Accipitriformes	Accipitridae	Gyps	rueppelli	Ruppell's Vulture	2544.276	1	1	7400	NA	225	55	130	NA	91
Aves	Accipitriformes	Accipitridae	Gyps	tenuirostris	Slender-billed Vulture	1826.25	1	NA	5705	NA	235	50	NA	NA	92
Aves	Accipitriformes	Accipitridae	Haliaeetus	albicilla	White-tailed Eagle	1729.537	2	1	4793	42	132.5	39.5	73.75	29.83333333	83
Aves	Accipitriformes	Accipitridae	Haliaeetus	humilis	Lesser Fish Eagle	NA	3	NA	782.25	NA	NA	NA	NA	NA	60.5
Aves	Accipitriformes	Accipitridae	Haliaeetus	ichthyaetus	Grey-headed Fish Eagle	NA	2	NA	2037.5	NA	102	NA	NA	NA	71.5
Aves	Accipitriformes	Accipitridae	Haliaeetus	leucocephalus	Bald Eagle	1460	2	1	4740	48	117	35	74.25	32.96666667	80
Aves	Accipitriformes	Accipitridae	Haliaeetus	leucogaster	White-bellied Sea Eagle	1363.005	2	1	2751.5	10.41666667	117	NA	67.5	10.41666667	77.5
Aves	Accipitriformes	Accipitridae	Haliaeetus	leucoryphus	Pallas's Fish Eagle	1817.34	2.5	1	2807.5	NA	117	40	87.5	NA	78
Aves	Accipitriformes	Accipitridae	Haliaeetus	pelagicus	Steller's Sea Eagle	1817.34	2	1	7224.75	25	165	41.5	70	25	95
Aves	Accipitriformes	Accipitridae	Haliaeetus	sanfordi	Sanford's Sea Eagle	NA	NA	NA	2190	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Haliaeetus	vocifer	African Fish Eagle	1453.872	2	1	2806.5	40	120	44.25	70	24	69
Aves	Accipitriformes	Accipitridae	Haliaeetus	vociferoides	Madagascan Fish Eagle	NA	2	NA	3000	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Haliastur	indus	Brahminy Kite	NA	2	NA	529	NA	49	26.5	52.5	NA	48
Aves	Accipitriformes	Accipitridae	Haliastur	sphenurus	Whistling Kite	NA	2	1	755	11	56.5	36.5	NA	10.9	55
Aves	Accipitriformes	Accipitridae	Hamirostra	melanosternon	Black-breasted Buzzard	NA	2	NA	1196	NA	NA	NA	NA	NA	56
Aves	Accipitriformes	Accipitridae	Harpagus	bidentatus	Double-toothed Kite	NA	2	NA	198.5	NA	NA	NA	NA	NA	32
